safe_batch	prefix_on_other_qid	is_publisher	is_person	qid_prefix_count	triage	status	list_prefix	qid	publisher	p31_types	existing_P3035	part_of_P749	replaces_P1365	replaced_by_P1366	aliases_en	batch_group	registry
yes		yes		1	clean	missing	978-0-7717	Q201492	McGill University	public research university; open-access publisher; university in Quebec					Royal institution of advanced learning | University of McGill College | McGill college | McGill | mcgill.ca	commercial	
yes		yes		1	clean	missing	978-0-7735	Q6801272	McGill-Queen's University Press	university press					MQUP	commercial	
yes		yes		1	clean	missing	978-0-7748	Q7895143	University of British Columbia Press	university press					UBC press	commercial	
yes		yes		1	clean	missing	978-0-7818	Q16995475	Hippocrene Books	publishing house						commercial	
yes		yes		1	clean	missing	978-0-7892	Q4663952	Abbeville Publishing Group	publishing house					Abbeville Press	commercial	
yes		yes		1	clean	missing	978-0-7918	Q466950	American Society of Mechanical Engineers	regulatory college; engineering society; academic publisher; organization					asme.org | ASME | ASME International	commercial	
yes		yes		1	clean	missing	978-0-7972	Q1066492	Stellenbosch University	public university; open-access publisher					Maties | University of Stellenbosch | Universiteit van Stellenbosch | SU | sun.ac.za | Stellenbosch College | Victoria College	commercial	
yes		yes		1	clean	missing	978-0-8019	Q5099225	Chilton Company	publishing house					Chilton Printing Co. | Chilton Publishing Co. | Chilton Book Co. | Chilton Research Services	commercial	
yes		yes		1	clean	missing	978-0-8028	Q941589	William B. Eerdmans Publishing Company	business; book publisher					Wm. B. Eerdmans Publishing Company | W.B. Eerdmans | Eerdmans | William B. Eerdmans Publishing Co. | William B. Eerdmans Pub. Company | W.B. Eerdmans Pub. | Eerdmans Publishing Co. | Eerdmans Publishing Company	commercial	
yes		yes		1	clean	missing	978-0-8036	Q5423798	F. A. Davis Company	publishing house					The F. A. Davis Company	commercial	
yes		yes		1	clean	missing	978-0-8044	Q16993796	Frederick Ungar Publishing Company	publishing house						commercial	
yes		yes		1	clean	missing	978-0-8048	Q3542453	Tuttle Publishing	business; publishing house					Charles E. Tuttle Company | C. E. Tuttle Co.	commercial	
yes		yes		1	clean	missing	978-0-8059	Q5298728	Dorrance Publishing Co.	publishing house					Dorrance & Company | Dorrance and Company	commercial	
yes		yes		1	clean	missing	978-0-8061	Q7896016	University of Oklahoma Press	university press						commercial	
yes		yes		1	clean	missing	978-0-8069	Q7611458	Sterling Publishing	publishing house; book publisher						commercial	
yes		yes		1	clean	missing	978-0-8071	Q16975504	Louisiana State University Press	university press						commercial	
yes		yes		1	clean	missing	978-0-8077	Q7691246	Teachers College, Columbia University	school of education; private not-for-profit educational institution; open-access publisher					Teachers College, Columbia University | Teachers College of Columbia University | Columbia University Graduate School of Education | Columbia University Teachers College | Columbia Teachers College	commercial	
yes		yes		1	clean	missing	978-0-8078	Q7895937	University of North Carolina Press	university press; open-access publisher; nonprofit organization					Chapel Hill Press | Chapel Hill Publisher | University of North Carolina Chapel Hill Press | UNC Chapel Hill Press	commercial	
yes		yes		1	clean	missing	978-0-8090	Q16995433	Hill and Wang	publishing house; imprint						commercial	
yes		yes		1	clean	missing	978-0-8093	Q17062065	Southern Illinois University Press	university press					SIU Press	commercial	
yes		yes		1	clean	missing	978-0-8118	Q5114023	Chronicle Books	book publisher; publishing house					Chronicle Books LLC	commercial	
yes		yes		1	clean	missing	978-0-8126	Q7095992	Open Court Publishing Company	education company					Open Court	commercial	
yes		yes		1	clean	missing	978-0-8128	Q7606787	Stein and Day Publishers	publishing house						commercial	
yes		yes		1	clean	missing	978-0-8130	Q7894893	University Press of Florida	university press						commercial	
yes		yes		1	clean	missing	978-0-8131	Q3551345	University Press of Kentucky	university press; book publisher					The University Press of Kentucky	commercial	
yes		yes		1	clean	missing	978-0-8137	Q1503216	Geological Society of America	learned society; publishing house; open-access publisher; nonprofit organization					GSA | The Geological Society of America	commercial	
yes		yes		1	clean	missing	978-0-8139	Q7896540	University of Virginia Press	university press					University Press of Virginia | UVA Press | UVAP	commercial	
yes		yes		1	clean	missing	978-0-8141	Q6971937	National Council of Teachers of English	organization; learned society; open-access publisher					NCTE	commercial	
yes		yes		1	clean	missing	978-0-8142	Q7080970	Ohio State University Press	university press						commercial	
yes		yes		1	clean	missing	978-0-8143	Q7976644	Wayne State University Press	university press						commercial	
yes		yes		1	clean	missing	978-0-8149	Q7914837	Vanguard Press	business; book publisher						commercial	
yes		yes		1	clean	missing	978-0-8165	Q7895063	University of Arizona Press	university press; division					UA Press	commercial	
yes		yes		1	clean	missing	978-0-8173	Q7895031	University of Alabama Press	university press					UAP	commercial	
yes		yes		1	clean	missing	978-0-8194	Q2140443	SPIE	learned society; open-access publisher; engineering society					International Society for Optics and Photonics | Society of Photo-Optical Instrumentation Engineers | Society of Photographic Instrumentation Engineers | SPIE (Society of Photographic Instrumentation Engineers)	commercial	
yes		yes		1	clean	missing	978-0-8195	Q7984073	Wesleyan University Press	university press						commercial	
yes		yes		1	clean	missing	978-0-8197	Q4927105	Bloch Publishing Company	publishing house						commercial	
yes		yes		1	clean	missing	978-0-8203	Q7895456	University of Georgia Press	university press					UGA Press	commercial	
yes		yes		1	clean	missing	978-0-8207	Q5316089	Duquesne University Press	university press						commercial	
yes		yes		1	clean	missing	978-0-8214	Q16947116	Ohio University Press	university press					Swallow Press	commercial	
yes		yes		1	clean	missing	978-0-8218	Q465654	American Mathematical Society	mathematical society; open-access publisher; learned society; nonprofit organization					AMS | ams.org | American Mathematics Society	commercial	
yes		yes		1	clean	missing	978-0-8222	Q5305776	Dramatists Play Service	business; publishing house						commercial	
yes		yes		1	clean	missing	978-0-8225	Q17031458	Lerner Publishing Group	publishing house					Twenty-First Century Books	commercial	
yes		yes		1	clean	missing	978-0-8234	Q16939002	Holiday House	publishing house						commercial	
yes		yes		1	clean	missing	978-0-8243	Q567368	Annual Reviews (publisher)	publishing house; nonprofit organization; academic publisher					Annual Reviews, Inc. | Annual Review of Biochemistry, Ltd.	commercial	
yes		yes		1	clean	missing	978-0-8247	Q3288870	Marcel Dekker	publishing house					Marcel Dekker, Inc.	commercial	
yes		yes		1	clean	missing	978-0-8248	Q4358493	University of Hawaii Press	university press; open-access publisher					University of Hawaiʻi Press | University Press of Hawai'i | University Press of Hawaii	commercial	
yes		yes		1	clean	missing	978-0-8254	Q22023062	Kregel Publications	publishing house						commercial	
yes		yes		1	clean	missing	978-0-8263	Q7895914	University of New Mexico Press	university press					UNM Press	commercial	
yes		yes		1	clean	missing	978-0-8265	Q7914458	Vanderbilt University Press	university press						commercial	
yes		yes		1	clean	missing	978-0-8276	Q3296939	Jewish Publication Society of America	publishing house; book publisher					Jewish Publication Society of America | JPS | J.P.S.	commercial	
yes		yes		1	clean	missing	978-0-8309	Q5732623	Herald House	publishing house					Herald Publishing House	commercial	
yes		yes		1	clean	missing	978-0-8323	Q4914098	Binfords & Mort	publishing house						commercial	
yes		yes		1	clean	missing	978-0-85600	Q967165	University of York	public university; higher education institution; publishing house; open-access publisher; educational organization; plate glass university; organization					York University | Ebor. | The University of York	commercial	
yes		yes		1	clean	missing	978-0-9896415	Q56290281	Button Poetry	publishing house						commercial	
yes		yes		1	clean	missing	978-1-4019	Q3783780	Hay House	publishing house						commercial	
yes		yes		1	clean	missing	978-1-5098	Q3892930	Pan Macmillan	publishing house; imprint						commercial	
yes		yes		1	clean	missing	978-1-55041	Q16980952	Fitzhenry & Whiteside	publishing house; book publisher						commercial	
yes		yes		1	clean	missing	978-1-55054	Q5301168	Douglas & McIntyre	publishing house						commercial	
yes		yes		1	clean	missing	978-1-55861	Q7733667	The Feminist Press	nonprofit organization; publishing house					Feminist Press at the City University of New York	commercial	
yes		yes		1	clean	missing	978-1-59460	Q17379963	Carolina Academic Press	education company						commercial	
yes		yes		1	clean	missing	978-1-84091	Q5162682	Conran Octopus	publishing house						commercial	
yes		yes		1	clean	missing	978-1-84607	Q4834796	BBC Books	publishing house					BBC Publishing	commercial	
yes		yes		1	clean	missing	978-1-85158	Q6736763	Mainstream Publishing	publishing house						commercial	
yes		yes		1	clean	missing	978-1-85671	Q151107	Michelin	publishing house; tire manufacturer					Manufacture Française Des Pneumatiques Michelin SCA | Kléber pneumatique | Michelin et Cie | Taurus pneus	commercial	
yes		yes		1	clean	missing	978-1-935439	Q19880581	Ig Publishing	publishing house						commercial	
yes		yes		1	clean	missing	978-1-940535	Q17152213	Boss Fight Books	book publisher						commercial	
yes		yes		1	clean	missing	978-0-580	Q3778585	British Standards Institution	business; standards organization; company					British Standards Institution | BSI	institutional	ok
yes		yes		1	clean	missing	978-0-7258	Q15575	Flinders University	public university; nonprofit organization					Flinders University of South Australia	institutional	ok
yes		yes		1	clean	missing	978-0-7464	Q5001836	Business And Technology Education Council (BTEC)	educational organization						institutional	ok
yes		yes		1	clean	missing	978-0-8024	Q2257594	Moody Publishers	higher education institution; private not-for-profit educational institution; Christian organization; Bible college					Moody Theological Seminary and Graduate School | Moody Theological Seminary and Graduate School--Michigan | Moody Bible Institute--Spokane	institutional	ok
yes		yes		1	clean	missing	978-0-8031	Q621977	ASTM International	learned society; standards organization; company; business					A.S.T.M. | American Society for Testing of Materials | ASTM | American Society for Testing and Materials | American Society of Testing Materials | American society for testing materials	institutional	ok
yes		yes		1	clean	missing	978-0-8106	Q3111510	National Education Association	education trade union; nonprofit corporation; professional association; organization					NEA | National Education Association of the United States | National Teachers Association	institutional	ok
yes		yes		1	clean	missing	978-0-8169	Q465184	American Institute of Chemical Engineers	regulatory college; engineering society					AIChE | American Institute for Chemical Engineers	institutional	ok
yes		yes		1	clean	missing	978-0-87290	Q1134188	Corning Museum of Glass	museum					cmog.org | The Corning Museum of Glass	institutional	ok
yes		yes		1	clean	missing	978-0-948170	Q539216	Bibliographical Society	learned society					The Bibliographical Society	institutional	ok
yes		yes		1	clean	missing	978-1-906097	Q1431365	Policy Exchange	think tank						institutional	ok
yes		yes		1	clean	missing	978-1-936213	Q1572774	Unicode, Inc.	consortium; standards organization; 501(c)(3) organization; 501(c)(6) organization					The Unicode Consortium | Unicode Inc. | Unicode, Inc. | unicode.org	institutional	ok
yes		yes		1	clean	missing	978-0-9753140	Q6723690	Machine Project	museum						institutional	unchecked
		yes		1	clean	missing	978-0-8026	Q1411222	George Mason University	university; public educational institution of the United States					Mason | George Mason | GMU | gmu.edu | Mason University | G.M.U. | George Mason College	institutional	wrong-entity
		yes		1	clean	missing	978-0-8138	Q1136919	Iowa State University	public research university; land-grant university; public educational institution of the United States; corporate body					Iowa State University of Science and Technology | Iowa State College | ISU | IAState | Iowa State | Iowa Agricultural College | Iowa State College of Agriculture and Mechanic Arts | Iowa Agricultural College and Model Farm | iastate.edu	institutional	wrong-entity
		yes		1	clean	missing	978-0-8144	Q2842975	American Management Association	professional association; nonprofit organization; educational institution					AMAI	institutional	imprint/press
		yes		1	clean	missing	978-0-8157	Q929154	Brookings Institution	think tank; institution; nonprofit organization					Brookings | Brookings Institute	institutional	imprint/press
				1	clean	missing	978-0-319	Q548721	Ordnance Survey	state-owned enterprise; non-ministerial government department; national mapping agency					OS | UK Ordnance Survey | The British Ordnance Survey		
		yes		5	clean	missing	978-0-325	Q6273015	Heinemann (publisher)	publishing house; business					William Heinemann Ltd.		
		yes		2	clean	mismatch	978-0-335	Q2413375	Open University	public university; higher education institution; open-access publisher; educational organization; organization	978-1-78007				Open University, The | Open University		
		yes		4	clean	missing	978-0-349	Q7576675	Sphere Books	publishing house							
		yes		4	clean	missing	978-0-351	Q7576675	Sphere Books	publishing house							
				1	clean	missing	978-0-379	Q7076174	Oceana Publications								
				2	clean	missing	978-0-389	Q795454	Barnes & Noble	business; enterprise; public company; bookstore chain							
	Q1336200	yes		1	clean	missing	978-0-399	Q3093062	G. P. Putnam's Sons	publishing house					Putnam | G.P. Putnam & Sons		
	Q114718812	yes		6	clean	mismatch	978-0-413	Q3296078	Methuen Publishing	publishing house	978-1-84275				Methuen & Co. | Methuen & Co. Ltd. | Methuan & Co., Ltd. | Methuan and Company, Limited | Methuen and Co		
		yes		6	clean	mismatch	978-0-416	Q3296078	Methuen Publishing	publishing house	978-1-84275				Methuen & Co. | Methuen & Co. Ltd. | Methuan & Co., Ltd. | Methuan and Company, Limited | Methuen and Co		
		yes		6	clean	mismatch	978-0-417	Q3296078	Methuen Publishing	publishing house	978-1-84275				Methuen & Co. | Methuen & Co. Ltd. | Methuan & Co., Ltd. | Methuan and Company, Limited | Methuen and Co		
	Q1508259			1	clean	missing	978-0-422	Q2164568	Tavistock Institute	charitable organization; scientific organization; training organization					Tavistock Institute | TIHR		
		yes		6	clean	mismatch	978-0-423	Q3296078	Methuen Publishing	publishing house	978-1-84275				Methuen & Co. | Methuen & Co. Ltd. | Methuan & Co., Ltd. | Methuan and Company, Limited | Methuen and Co		
		yes		1	clean	mismatch	978-0-424	Q7660203	Sydney University Press	publishing house	978-1-920899						
		yes		1	clean	mismatch	978-0-425	Q2753848	Berkley Publishing	imprint	978-1-02				Berkley		
		yes		5	clean	missing	978-0-431	Q6273015	Heinemann (book publisher)	publishing house; business					William Heinemann Ltd.		
			yes	1	clean	missing	978-0-432	Q7175491	Peter Llewelyn Davies	human							
		yes		5	clean	missing	978-0-434	Q6273015	Heinemann (book publisher)	publishing house; business					William Heinemann Ltd.		
		yes		5	clean	missing	978-0-435	Q6273015	Heinemann (book publisher)	publishing house; business					William Heinemann Ltd.		
		yes		4	clean	mismatch	978-0-439	Q1155729	Scholastic Corporation	business; book publisher; education company; public company; media distributor	978-1-07;978-1-4071				Scholastic | Scholastic Entertainment | Scholastic Corporation (United States) | SCHL | Scholastic Magazines, Inc. | Scholastic Magazines | Scholastic Magazine, Inc.		
		yes		2	clean	missing	978-0-451	Q7005314	New American Library	publishing house					NAL		
		yes		2	clean	missing	978-0-452	Q7005314	New American Library	publishing house					NAL		
		yes		6	clean	mismatch	978-0-456	Q3296078	Methuen Publishing	publishing house	978-1-84275				Methuen & Co. | Methuen & Co. Ltd. | Methuan & Co., Ltd. | Methuan and Company, Limited | Methuen and Co		
	Q5047019	yes		6	clean	mismatch	978-0-458	Q3296078	Methuen Publishing	publishing house	978-1-84275				Methuen & Co. | Methuen & Co. Ltd. | Methuan & Co., Ltd. | Methuan and Company, Limited | Methuen and Co		
			yes	1	clean	missing	978-0-460	Q6106398	J. M. Dent	human					Joseph Malaby Dent		
		yes		3	clean	mismatch	978-0-461	Q4043752	Marshall Cavendish	publishing house	978-0-85685;978-2-7365						
		yes		1	clean	mismatch	978-0-472	Q7895770	University of Michigan Press	university press; open-access publisher	978-0-88286						
	[NZ author-publisher collective block]	yes		1	clean	missing	978-0-477	Q17513775	Department of Scientific and Industrial Research (New Zealand)	government agency; research center; publishing house					DSIR		
				1	clean	missing	978-0-478	Q3526359	Government of New Zealand	central government; government					New Zealand Government | Her Majesty's Government in New Zealand | Kāwanatanga o te Kuini i roto i Aotearoa) | His Majesty's Government in New Zealand | New Zealand government		
		yes		2	clean	mismatch	978-0-485	Q4036513	Athlone Press	publishing house; book publisher	978-1-4411;978-1-84371				Continuum | Thoemmes Continuum		
			yes	1	clean	missing	978-0-498	Q4723452	Alfred Smith Barnes	human					A. S. Barnes | A.S. Barnes | Alfred S. Barnes		
			yes	1	clean	missing	978-0-510	Q5392787	Ernest Benn	human					Ernest J. P. Benn | Sir Ernest John Pickstone Benn, 2nd Baronet		
		yes		4	clean	mismatch	978-0-516	Q1155729	Childrens Press	business; book publisher; education company; public company; media distributor	978-1-07;978-1-4071				Scholastic | Scholastic Entertainment | Scholastic Corporation (United States) | SCHL | Scholastic Magazines, Inc. | Scholastic Magazines | Scholastic Magazine, Inc.		
			yes	1	clean	missing	978-0-540	Q5543381	George Philip (cartographer)	human							
		yes		4	clean	mismatch	978-0-545	Q1155729	Scholastic Corporation	business; book publisher; education company; public company; media distributor	978-1-07;978-1-4071				Scholastic | Scholastic Entertainment | Scholastic Corporation (United States) | SCHL | Scholastic Magazines, Inc. | Scholastic Magazines | Scholastic Magazine, Inc.		
			yes	1	clean	missing	978-0-562	Q7410238	Sampson Low	human					Sampson Low Snr.		
				1	clean	missing	978-0-564	Q920404	British & Foreign Bible Society	charitable organization; Bible society; Christian missionary organization					Bible Society | BFBS | British & Foreign Bible Society | British and Foreign Bible Society -- Archives | British and Foreign Bible Society -- Records and correspondence		
		yes		2	clean	missing	978-0-565	Q6373	British Museum	national museum; non-departmental public body; art museum; museum; charitable organization					BM | the British Museum		
		yes		2	clean	missing	978-0-566	Q4805028	Gower Publishing	publishing house; book publisher							
	Q99521181	yes		1	clean	missing	978-0-567	Q7667718	T. & T. Clark	imprint; book publisher							
				1	clean	missing	978-0-574	Q7433601	Science Research Associates	business							
		yes		2	clean	mismatch	978-0-576	Q5606574	Gregg Press	publishing house	978-0-8398						
	Q80558647	yes		1	clean	missing	978-0-586	Q7131769	Panther Books	publishing house							
		yes		2	clean	missing	978-0-589	Q7306689	Reed Publishing	publishing house					A. H. Reed Ltd | A. H. and A. W. Reed Ltd | Reed Methuen | Octopus Publishing (NZ) | Heinemann Reed | Reed Publishing (NZ) Ltd | Raupo Publishing (NZ) | A.H. & A.W. Reed Ltd | A. H. & A. W. Reed Ltd | AH & AW Reed		
		yes		4	clean	mismatch	978-0-590	Q1155729	Scholastic Inc.	business; book publisher; education company; public company; media distributor	978-1-07;978-1-4071				Scholastic | Scholastic Entertainment | Scholastic Corporation (United States) | SCHL | Scholastic Magazines, Inc. | Scholastic Magazines | Scholastic Magazine, Inc.		
		yes		2	clean	missing	978-0-600	Q5645521	Hamlyn (publishers)	publishing house					Paul Hamlyn publishers		
		yes		2	clean	missing	978-0-601	Q5645521	Hamlyn (publishers)	publishing house					Paul Hamlyn publishers		
				1	clean	missing	978-0-610	Q6385890	Kelly's Directory	business directory					Kelly's, Post Office and Harrod & Co Directory		
				1	clean	missing	978-0-642	Q4824214	Australian Government Publishing Service	state publisher							
				1	clean	missing	978-0-643	Q1117048	CSIRO	government organization; Government body of Australia; production company; research organization					Commonwealth Scientific and Industrial Research Organisation, Australia | CSIRO		
		yes		5	clean	mismatch	978-0-669	Q568642	Lexington Books	book publisher; public company; corporation; holding company	978-1-4088;978-1-58234;978-0-7475						
	Q116869489		yes	1	clean	missing	978-0-675	Q381489	Charles E. Merrill	human					Charles Edward Merrill | Charles Merrill		
	Q116869733	yes		1	clean	missing	978-0-690	Q7795366	Thomas Y. Crowell Co.	publishing house					Thomas Y. Crowell Company | Thomas Y. Crowell & Company | Thomas Y. Crowell & Co. | T. Y. Crowell Co. | Crowell & Co.		
				1	clean	missing	978-0-7005	Q6972786	National Foundation for Educational Research	foundation; charitable organization							
		yes		1	clean	mismatch	978-0-7025	Q3635018	Bharatiya Vidya Bhavan	academic institution; publishing house; book publisher	978-81-7276;978-81-922719;978-1-85299;978-0-9807348				Bharatiya Vidya Bhavan Educational Trust | Bharatiya Vidya Bhavans | Bhavans | Bhavan's		
		yes		3	clean	missing	978-0-7054	Q7806643	Time-Life	business; book publisher					Time–Life | Time-Life | TIME/LIFE | Time-Life Books		
				1	clean	missing	978-0-7058	Q757600	Atomic Energy Research Establishment	laboratory					AERE | Harwell Laboratory		
		yes		2	clean	missing	978-0-7062	Q2100540	Ward Lock & Co	publishing house					Ward, Lock, and Tyler | Ward and Lock | Ward & Lock		
		yes		2	clean	missing	978-0-7063	Q2100540	Ward Lock & Co	publishing house					Ward, Lock, and Tyler | Ward and Lock | Ward & Lock		
			yes	1	clean	missing	978-0-7068	Q6775031	Sceptre Press	human							
				2	clean	mismatch	978-0-7078	Q333515	National Trust for Places of Historic Interest or Natural Beauty	national trust; nonprofit organization; collection	978-1-84359				National Trust for Places of Historic Interest or Natural Beauty		
		yes		2	clean	missing	978-0-7081	Q127990	Australian National University	public university; Government body of Australia; production company; nonprofit organization					The Australian National University | ANU | Phoenix Prize for Spiritual Art | Australian National University, Central Administration		
				1	clean	missing	978-0-7093	Q4916650	Birmingham City Council	metropolitan borough council							
				1	clean	missing	978-0-7095	Q3366507	British Tourist Authority	tourism agency					British Tourist Authority		
				1	clean	missing	978-0-7117	Q6161111	Jarrold Publishing	business; brick and mortar					The Jarrold Group | Jarrold & Sons | Jarrolds		
				1	clean	missing	978-0-7123	Q23308	British Library	national library; reference library; research library; universal library; non-departmental public body; library building					BL | B.L. | The British Library | The British Museum Library		
		yes		2	clean	missing	978-0-7131	Q5341603	Edward Arnold (publisher)	publishing house							
			yes	1	clean	missing	978-0-7139	Q1263483	Allen Lane	human					Allen Lane Williams | Sir Allen Lane		
		yes		2	clean	missing	978-0-7141	Q6373	British Museum	national museum; non-departmental public body; art museum; museum; charitable organization					BM | the British Museum		
		yes		1	clean	mismatch	978-0-7152	Q7400934	Saint Andrew Press	publishing house	978-0-86153						
			yes	1	clean	missing	978-0-7175	Q5343095	Hulton Press	human					Edward Hulton | Sir Edward George Warris Hulton		
				1	clean	missing	978-0-7176	Q1478750	Health and Safety Executive	non-departmental public body					HSE		
			yes	1	clean	missing	978-0-7181	Q15999138	Michael Joseph (publisher)	human							
				1	clean	missing	978-0-7186	Q121027510	H. K. Lewis & Co. Ltd.								
				1	clean	missing	978-0-7191	Q1457596	Cornmarket Press	privately held company					Haymarket Business Media | Haymarket Publications		
				1	clean	missing	978-0-7200	Q2046319	National Museum Wales	Welsh Government sponsored body; museum service; museum network					Amgueddfa Cymru – National Museum Wales | National Museums and Galleries of Wales | National Museum Wales | National Museum of Wales | Amgueddfa Cymru | Museum Wales		
			yes	1	clean	missing	978-0-7220	Q3894117	Frank Sheed	human					Francis Joseph Sheed | Francis J. Sheed		
